kecamatan,nama_lembaga_pkbm,npsn_lembaga,alamat,,
Jatinegara,PKBM Flamboyan,P9984390,Jl.Jatinegara Barat Kp.Pulo,,
Pulau Gadung,PKBM Pelangi Indonesia Cyberschool,P9948635,Jl.Taman Pulau Asem Utara No.60,,
Kebon Jeruk,PKBM Al Hasanah,P9948577,Jl.Daud 1 No.15 Rt.001/008,,
Kebon Jeruk,PKBM Bina Sejahtera,P9948436,Jl.Kali Sekretaris No.130 Rt.008/001,,
Grogol Petamburan,PKBM Tanjung,P9948425,Jl.DR.Nurdin IV No.1 Rt.005/07,,
Kebayoran Baru,PKBM Metakognisi,P9948188,Jl.Hang Lengkir IIV No.6,,
Koja,PKBM Bagas,P9948141,Jl.Cibanteng I No.43 Rt.002/007,,
Ciracas,PKBM B One Education,P9948123,Jl.Raya PKP No.25 Rt.010/08,,
Pal Merah,PKBM Yasmi,P9948102,Jl.Kemanggisan Angaran No.9 Rt.08/013,,
Kembangan,PKBM Life,P9948041,Jl.Taman Meruya Ilir Blok D10/1B Rt.002/002,,
Tanjung Priok,PKBM Mercy  Smart,P9947958,Jl.RS. Paru-paru Ancol Komplek Al-Mutaqiem No.59 Rt.024/01,,
Kebon Jeruk,PKBM Shining Generation Institute,P9945792,Komplek Green Garden Blok A7 No.5,,
Cakung,PKBM Karya Mandiri Jaya,P9945773,Jl.Kayu Tinggi No.25 Rt.002/011,,
Duren Sawit,PKBM Mutiara Renjana,P9945772,Jl.Pahlawan Revolusi No.38,,
Cakung,PKBM E-Learning Academy,P9945708,Ruko Taman Modern Rt.01/014 Cakung,,
Kalideres,PKBM Solusi Mandiri Sentosa,P9934937,Jl.Taman Semanan Indah H2 No.41,,
Ciracas,PKBM Mitra Insan Cendekia,P9934803,Jl.Manunggal II No.39,,
Cakung,PKBMCahaya Bangsa Community Learning,P9934604,Jl.Kel.Ujung MentegNo.24,,
Kalideres,PKBM Negeri 20 Tegal Alur,P9934360,Jl.N.Kamal Raya Tegal Alur,,
Kalideres,PKBM  Az-Zahra,P9934296,JlKompleks Kebersihan No.50 Menceng Tegal Alur,,
Cengkareng,PKBM Al-Hurriyah,P9934281,Jl.Ukir Pedongkelan Depan Rt.07/06,,
Ciracas,PKBM Al-Muhajirin Anshor,P9926497,Jl.H.Saibun No.18 Rt.10/04,,
Cengkareng,PKBM Negeri 18,P9926496,Jl.Raya Kapuk Rt.002/03 No.03 Kel.Kapuk Kec.Cengkareng,,
Sawah Besar,PKBM STARS,P9926428,Jl.Samanhudi No.6 Pasar Baru,,
Ciracas,PKBM Al-Amira,P9926370,Jl.Bungur III No.32 Rt.010/06 Kel.Rambutan Kec.Ciracas,,
Kebayoran Baru,PKBM Piranti Bangsa,P9926368,Jl.Ketimun IV/1,,
Tanjung Priok,PKBM Moh.Hashfi,P9926243,Budi Jaya 1-3,,
Penjaringan,PKBM Aulia,P9926242,Jl.C.Rt.07/08 No.205A Kel.Pejagalan,,
Ciracas,PKBM Tanda Genap,P9926241,Jl.Tanah Merdeka X No.3A Ciracas,,
Jagakarsa,PKBM Amanah,P9926240,Jl.Utama Bunga Raya No.402,,
Tanah Abang,PKBM Nusantara Bendungan Hilir,P9926239,Jl.Danau Toba No.44 Rt.03/07,,
Tanah Abang,PKBM Vicery,P9926238,Jl.Gatot Subroto Kav 35-39,,
Tambora,PKBM Al-Munir,P9926237,Jl.H.Jahmari No.13 Rt.001/02 Kel.Angke ,,
Tambora,PKBM Al-Latief,P9926236,Jl.Pekapuran IV No.76 Rt.001 Rw.005,,
Taman Sari,PKBM Ar-Rahmah,P9926235,Jl.Ketutamaan Dalam Krukut Lio Rt.011/03 Kel.Krukut,,
Kebon Jeruk,PKBM Asyairiyah,P9926234,Jl.E.GG.S1 Kebon Jeruk,,
Kalideres,PKBM Bina Nusantara,P9926233,Jl.Tanjung Pura V Rt.005/05 No.68,,
Senen,PKBM Numatra,P9926232,Jl. Kampung Kepu No.21 A Rt.04 Rw.01,,
Pal Merah,PKBM Al-Abbor Palmerah,P9926231,Jl.Studio Ujung No.74 Rt.001/012 Palmerah,,
Grogol Petamburan,PKBM Negeri 05,P9926222,Jl.Latumenten I Rt.04/05 No.76,,
Cengkareng,PKBM Negeri 07 Cengkareng,P9908916,Jl.Utama Raya No.43,,
Grogol Petamburan,PKBM Perti,P9908873,Jl.Tawakal Raya No.99 Rt.07/16,,
Kelapa Gading,PKBM Teach Indonesia School,P9908872,Jl.Raya Pegangsaan dua No.97,,
Cilandak,PKBM Erudio School Of Art,P9908867,Jl.RS.Fatmawati Blok III Kav. No.320,,
